City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,San Miguel,SV,74.52,scattered clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
550,Guasdualito,VE,73.15,scattered clouds,7.2424,-70.7324,Hotel Cuibas
552,Paris,FR,64.26,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
553,Hualmay,PE,63.39,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
556,Vila Do Maio,CV,75.88,overcast clouds,15.1333,-23.2167,Hotel Marilu
559,Moron,AR,55.15,clear sky,-34.6534,-58.6198,Hotel Morón
562,Peace River,CA,73.71,few clouds,56.2501,-117.286,BCMInns - Peace River
563,San Vicente,AR,68.27,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
564,Pasighat,IN,79.47,light rain,28.0667,95.3333,Siang Guest House
565,Cidreira,BR,67.53,broken clouds,-30.1811,-50.2056,Hotel Castelo
566,Mwene-Ditu,CD,63.97,few clouds,-7.0,23.45,Hôtel Kamas
569,Mareeba,AU,79.45,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
570,Anchorage,US,69.01,clear sky,61.2181,-149.9003,Hotel Captain Cook
571,Port Pirie,AU,62.69,few clouds,-33.1833,138.0167,John Pirie Motor Inn
573,Zaporizhzhya,UA,68.67,clear sky,47.8167,35.1833,Intourist hotel
575,Port Macquarie,AU,67.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
576,Devecser,HU,67.35,clear sky,47.1032,17.438,Széki tó
579,Lompoc,US,74.79,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
580,Aberdeen,GB,61.48,overcast clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
584,Inhambane,MZ,66.27,overcast clouds,-23.865,35.3833,Oceano
585,Quatre Cocos,MU,69.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
587,Cap Malheureux,MU,70.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
588,Olinda,BR,69.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
589,Dilla,ET,58.1,overcast clouds,6.41,38.31,Afomiya Pension
590,Thouars,FR,61.72,overcast clouds,46.976,-0.2151,Contact-Hotel-du-Relais Thouars
591,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
595,Dongsheng,CN,73.51,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
596,Krasnyy Yar,RU,71.53,clear sky,46.5331,48.3456,Cottege near Ufa
597,Peru,US,77.61,scattered clouds,40.7537,-86.0689,Cole Porter Inn
598,Athens,GR,79.16,clear sky,37.9795,23.7162,Novotel Athenes
